omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,smoothness_weight,curvature_weight,fidelity,process_fidelity,no_jump_average_fidelity,active_population,loss_proxy,passed,success,num_iter,alpha,beta
5.0,0.0,240.0,64,360,0.0001,0.0001,0.9983569091937098,0.9983569091937098,0.99835737768041,0.9983592516272106,0.0016407483727893801,False,True,57,5.644051815267385e-15,2.22301942959939
5.0,0.0,260.0,64,360,0.0001,0.0001,0.9985469405719398,0.9985469405719398,0.9985469790864144,0.9985471331443123,0.0014528668556876845,False,True,56,5.161548229615511e-13,1.9596362892056327
5.0,0.0,280.0,64,360,0.0001,0.0001,0.998490601583786,0.998490601583786,0.9984906543472377,0.9984908654010449,0.0015091345989550753,False,True,14,5.194765674809001e-13,1.8445986232858733
5.0,0.0,300.0,64,360,0.0001,0.0001,0.9985047613171824,0.9985047613171824,0.9985048044576048,0.9985049770192949,0.0014950229807051407,False,False,360,-1.983118909740178e-12,2.4312641418226577
5.0,0.0,320.0,64,360,0.0001,0.0001,0.998471977847331,0.998471977847331,0.9984720256836523,0.9984722170289372,0.0015277829710628188,False,True,257,-1.5816297687777474e-12,2.472232103224282
5.0,0.0,340.0,64,360,0.0001,0.0001,0.9984299634797502,0.9984299634797502,0.9984300128046331,0.998430210104164,0.0015697898958360046,False,True,106,-1.5632989751970433e-12,2.4066315254856785
5.0,0.0,360.0,64,360,0.0001,0.0001,0.9983718836178171,0.9983718836178171,0.9983719323806639,0.998372127432051,0.0016278725679490513,False,True,132,-2.0764509383784778e-12,2.4039327934298123
5.0,0.0,380.0,64,360,0.0001,0.0001,0.9983008289756121,0.9983008289756121,0.9983008852520634,0.9983011103578678,0.001698889642132162,False,True,108,-2.1197868728555516e-12,2.445931152091464
5.0,10.0,240.0,64,360,0.0001,0.0001,0.9823397730993665,0.9823397730993665,0.9824766404246246,0.9830241097256569,0.016975890274343097,False,True,51,-7.469348753784805e-14,-2.175405566973781
5.0,10.0,260.0,64,360,0.0001,0.0001,0.9985736660082043,0.9985736660082043,0.9985737069104923,0.9985738705196441,0.00142612948035592,False,True,199,-3.578243902566377e-13,2.1198588637381266
5.0,10.0,280.0,64,360,0.0001,0.0001,0.9985347515309337,0.9985347515309337,0.9985347985409158,0.9985349865808439,0.0014650134191560582,False,True,136,-3.8563657464114554e-13,1.9369530257887282
5.0,10.0,300.0,64,360,0.0001,0.0001,0.9984812140228267,0.9984812140228267,0.9984812788941599,0.9984815383794934,0.001518461620506617,False,True,217,-1.2171947079176433e-13,1.8289599869914663
5.0,10.0,320.0,64,360,0.0001,0.0001,0.9984169187325954,0.9984169187325954,0.9984169815198498,0.9984172326688681,0.0015827673311319401,False,True,242,1.1812366645667667e-13,1.7208484790457936
5.0,10.0,340.0,64,360,0.0001,0.0001,0.9984124853045893,0.9984124853045893,0.9984125323244284,0.9984127204037848,0.0015872795962151853,False,False,360,-1.2741941589284886e-13,-1.6184082964421145
5.0,10.0,360.0,64,360,0.0001,0.0001,0.9983496775500569,0.9983496775500569,0.9983497335020178,0.998349957309862,0.0016500426901380205,False,True,258,3.0883411713529423e-14,-1.509773483201281
5.0,10.0,380.0,64,360,0.0001,0.0001,0.998310410574291,0.998310410574291,0.9983104732484737,0.998310723945204,0.0016892760547959629,False,False,360,-1.5526339277705137e-13,1.4365551752291967
5.0,20.0,240.0,64,360,0.0001,0.0001,0.9587475806643689,0.9587475806643689,0.9590834101018635,0.9604267278518412,0.039573272148158756,False,True,59,-6.433478135767364e-14,2.3381449085178634
5.0,20.0,260.0,64,360,0.0001,0.0001,0.9939762140130802,0.9939762140130802,0.9939933228094373,0.9940617579948656,0.005938242005134375,False,True,77,8.927018149232877e-14,2.24731322621675
5.0,20.0,280.0,64,360,0.0001,0.0001,0.9985640216536767,0.9985640216536767,0.9985640574768698,0.9985642007696424,0.0014357992303576372,False,True,169,9.416824975268329e-14,2.019976199767021
5.0,20.0,300.0,64,360,0.0001,0.0001,0.9985112216438957,0.9985112216438957,0.9985112764495714,0.9985114956722745,0.001488504327725515,False,True,111,6.020114118064983e-14,1.894311750946574
5.0,20.0,320.0,64,360,0.0001,0.0001,0.9984535826598887,0.9984535826598887,0.9984536321357581,0.9984538300392359,0.0015461699607640655,False,True,93,1.3101645536715628e-13,1.7782719404786687
5.0,20.0,340.0,64,360,0.0001,0.0001,0.9983772737769003,0.9983772737769003,0.998377335311536,0.9983775814500784,0.0016224185499216226,False,True,19,1.2529410820451655e-13,1.6735907302711006
5.0,20.0,360.0,64,360,0.0001,0.0001,0.9983747611039037,0.9983747611039037,0.9983748796142512,0.9983753536556417,0.001624646344358327,False,False,360,1.9806216860604225e-10,-1.5076591924023117
5.0,20.0,380.0,64,360,0.0001,0.0001,0.9982759622358058,0.9982759622358058,0.9982760396211912,0.9982763491627323,0.001723650837267665,False,False,360,-2.96304250113197e-13,1.386907213509187
5.0,40.0,240.0,64,360,0.0001,0.0001,0.8883779440952968,0.8883779440952968,0.8898527768324488,0.8957521077810568,0.10424789221894315,False,True,49,-2.2421265800717813e-14,2.5056634908730784
5.0,40.0,260.0,64,360,0.0001,0.0001,0.9494338442429358,0.9494338442429358,0.9498905980993937,0.9517176135252253,0.048282386474774674,False,True,59,1.4460350473059894e-14,2.359229268787017
5.0,40.0,280.0,64,360,0.0001,0.0001,0.9899764284694587,0.9899764284694587,0.990015438671873,0.9901714794815305,0.009828520518469497,False,True,157,-8.324640462230804e-14,2.2603593099767116
