omega_max_mhz,total_time_ns,edge_time_ns,num_tslots,rydberg_lifetime_s,blockade_shift_mhz,fixed_virtual_z_process_fidelity,fixed_virtual_z_active_population,fixed_virtual_z_no_jump_average_fidelity,phase_corrected_process_fidelity,phase_corrected_active_population,phase_corrected_no_jump_average_fidelity,phase_corrected_alpha,phase_corrected_beta,phase_fit_success,phase_fit_nit,z00_abs,z0c_abs,zcc_abs,z00_phase_rad,z0c_phase_rad,zcc_phase_rad
10.0,170.0,40.0,64,6.5e-05,20.0,0.759204854603073,0.9905405844447993,0.8054720005714182,0.9054096596812137,0.9905405844447993,0.9224358446339307,1.5631940186722204e-13,2.881500837754496,True,64,1.0,0.9995200803802741,0.9818765480509339,0.0,2.2894298396619885,2.6270420522395055
10.0,170.0,40.0,64,6.5e-05,30.0,0.9003893426023739,0.9783902007039169,0.9159895142226825,0.9508454468572366,0.9783902007039169,0.9563543976265727,1.2034817586936697e-13,2.6208109406127607,True,64,1.0,0.9995200803802741,0.9568072013989488,0.0,2.2894298396619885,2.107581119345679
10.0,170.0,40.0,64,6.5e-05,40.0,0.9632392272132242,0.995992424947135,0.9697898667600064,0.9849193992173669,0.995992424947135,0.9871340043633205,1.270095140171179e-13,2.500244654210654,True,58,1.0,0.9995200803802741,0.9929193913011071,0.0,2.2894298396619885,1.8596509780076855
10.0,170.0,40.0,64,6.5e-05,60.0,0.9896730025903844,0.99893154345507,0.9915247107633215,0.9958400046530471,0.99893154345507,0.9964583124134517,1.389999226830696e-13,2.4007139716246835,True,54,1.0,0.9995200803802744,0.9988220019870908,0.0,2.289429839661989,1.6599009885293008
10.0,170.0,40.0,64,6.5e-05,80.0,0.9959592225064527,0.9991675136735807,0.9966008807398783,0.9981000320506852,0.9991675136735807,0.9983135283752643,1.438849039914203e-13,2.354799801551998,True,54,1.0,0.9995200803802744,0.9992943873191436,0.0,2.289429839661989,1.5680300468085955
10.0,170.0,40.0,64,6.5e-05,100.0,0.9981145003873302,0.9992438613722615,0.9983403725843164,0.9988691746343187,0.9992438613722615,0.9989441119819074,1.3944401189291966e-13,2.328152702188186,True,61,1.0,0.9995200803802744,0.999447178855524,0.0,2.289429839661989,1.5147234471906272
10.0,170.0,40.0,64,6.5e-05,120.0,0.9989280777468899,0.9992711089694952,0.9989966839914108,0.9991578057701707,0.9992711089694952,0.9991804664100356,1.3455903058456897e-13,2.310719966003961,True,48,1.0,0.9995200803802744,0.9995017027055035,0.0,2.289429839661989,1.47985261089721
10.0,170.0,40.0,64,6.5e-05,140.0,0.9992178989639443,0.9992799228288552,0.9992303037369265,0.9992596813328101,0.9992799228288552,0.9992637296320191,1.3500311979441904e-13,2.2984205274448053,True,49,1.0,0.9995200803802742,0.9995193390568496,0.0,2.289429839661989,1.4552505553830841
10.0,170.0,40.0,64,6.5e-05,160.0,0.999281023258276,0.9992810722562444,0.9992810330578695,0.9992810232582837,0.9992810722562444,0.999281033057876,1.425526363618701e-13,2.2892761212418593,True,42,1.0,0.9995200803802742,0.9995216390144832,0.0,2.289429839661989,1.43695952680465
10.0,170.0,40.0,64,6.5e-05,180.0,0.999240784728951,0.9992788030132973,0.9992483883858203,0.999265734601881,0.9992788030132973,0.9992683482841642,1.496580637194711e-13,2.2822100632163878,True,46,1.0,0.9995200803802742,0.9995170983462012,0.0,2.289429839661989,1.4228256942216364
10.0,170.0,40.0,64,6.5e-05,200.0,0.9991533052291851,0.9992750434231957,0.9991776528679873,0.9992337763271196,0.9992750434231957,0.9992420297463349,1.4566126083082054e-13,2.276585604165354,True,53,1.0,0.9995200803802742,0.9995095755049093,0.0,2.289429839661989,1.4115753968014544
10.0,170.0,40.0,64,6.5e-05,240.0,0.9989314255558112,0.9992661777832188,0.9989983760012926,0.9991534580100992,0.9992661777832188,0.9991760019647231,1.3944401189291966e-13,2.268194666069956,True,55,1.0,0.9995200803802742,0.999491835367401,0.0,2.289429839661989,1.394791294115118
10.0,170.0,40.0,64,6.5e-05,280.0,0.998707316523427,0.9992575366058968,0.998817360539921,0.9990726587495784,0.9992575366058968,0.9991096343208421,1.4654943925052066e-13,2.262231913057371,True,56,1.0,0.9995200803802738,0.9994745440764411,0.0,2.289429839661989,1.3828640396892768
10.0,170.0,40.0,64,6.5e-05,320.0,0.9985031053000314,0.999249427697123,0.9986523697794498,0.9989989162072593,0.999249427697123,0.9990490185052321,1.474376176702208e-13,2.2577688251007615,True,53,1.0,0.9995200803802738,0.9994583176009464,0.0,2.289429839661989,1.373936403096535
