edge_kind,omega_max_mhz,blockade_shift_mhz,edge_time_ns,total_time_ns,num_tslots,process_fidelity,no_jump_average_fidelity,active_population,loss_proxy,cz_phase_error_rad,optimizer_success,optimizer_iterations,alpha,beta
gaussian,10.0,160.0,40.0,140.0,48,0.8784359764785185,0.8809431843672154,0.8909720159220038,0.10902798407799619,-0.4549277416316757,True,68,-2.0036762537898623e-15,-2.3766382445430443
gaussian,10.0,160.0,40.0,160.0,48,0.9873739152662712,0.9874209013613282,0.9876088457415558,0.01239115425844417,0.05896784347735018,True,91,6.809342502432498e-15,2.3224791974018197
gaussian,10.0,160.0,40.0,180.0,48,0.9992240060555032,0.9992240326474111,0.999224139015042,0.0007758609849579656,0.0011154450861408094,False,110,9.353517163078777e-14,-1.8467050481233667
gaussian,10.0,160.0,40.0,200.0,48,0.9991921072296486,0.9991921441711611,0.9991922919372114,0.0008077080627886257,-0.0012911564712325685,False,110,-6.350737149169568e-14,1.9305962326235164
smoothstep5,10.0,160.0,40.0,140.0,48,0.9226198272069026,0.9233570806006013,0.9263060941753958,0.07369390582460422,0.23454513188156678,True,89,1.0959092795834527e-13,2.4749608438687063
smoothstep5,10.0,160.0,40.0,160.0,48,0.9991111983444656,0.9991114715948444,0.9991125645963591,0.0008874354036408905,0.004558545574256279,True,78,-3.0050543366334546e-14,2.2759268550733776
smoothstep5,10.0,160.0,40.0,180.0,48,0.9992332852472692,0.9992333195945914,0.9992334569838808,0.0007665430161192255,-0.0011130621351478354,False,110,1.1658019402444774e-13,2.0404333822137537
smoothstep5,10.0,160.0,40.0,200.0,48,0.9991752353664011,0.9991752510607437,0.9991753138381139,0.0008246861618861345,-9.202647961537025e-05,False,110,-2.480177915694264e-13,1.7119822132905875
polynomial_b2,10.0,160.0,40.0,140.0,48,0.9227119337972355,0.9234457590839853,0.9263810602309839,0.07361893976901612,0.23394894864298532,True,106,1.9372314933710888e-13,2.475389004564449
polynomial_b2,10.0,160.0,40.0,160.0,48,0.9991170624081033,0.9991173024121892,0.999118262428533,0.0008817375714670339,0.0042585363979714685,True,98,-2.9532417779209003e-13,2.275738710250393
polynomial_b2,10.0,160.0,40.0,180.0,48,0.9992081388190431,0.9992081538754342,0.9992082141009977,0.0007917858990023063,-0.0001498724206103752,False,110,1.1435789852193758e-13,-1.7824607085143678
polynomial_b2,10.0,160.0,40.0,200.0,48,0.9991750339657808,0.9991750764768682,0.9991752465212174,0.000824753478782636,-0.0013583528194693884,False,110,4.5475539499226844e-14,1.90357405247672
