direction,input,output
nbar_to_temperature,0.05,0.7881766629406619
nbar_to_temperature,0.1,1.0007199073429223
nbar_to_temperature,0.15,1.1780857314785773
nbar_to_temperature,0.25,1.4909686895492906
nbar_to_temperature,0.35,1.7775939279401975
nbar_to_temperature,0.5,2.1842296504092182
nbar_to_temperature,1.0,3.461922088861892
nbar_to_temperature,2.0,5.918194900688418
temperature_to_nbar,0.5,0.008304373388861985
temperature_to_nbar,1.0,0.09981030765677504
temperature_to_nbar,1.4909686895492906,0.25000000000000006
temperature_to_nbar,2.0,0.43112949691588676
temperature_to_nbar,3.0,0.8161531841773725
temperature_to_nbar,5.0,1.623502915638321
temperature_to_nbar,10.0,3.6873015087002625
temperature_to_nbar,20.0,7.844643679458342
temperature_to_nbar,30.0,12.008636386365836
