temperature_uK,samples,baseline_process_infidelity,blockade_mean_process_infidelity,doppler_mean_process_infidelity,blockade_thermal_infidelity_contribution,doppler_thermal_infidelity_contribution,thermal_infidelity_contribution_sum,estimated_total_process_infidelity,blockade_process_infidelity_standard_error,doppler_process_infidelity_standard_error,blockade_mean_population_loss,doppler_mean_population_loss,baseline_population_loss,sigma_relative_position_nm,blockade_sigma_mhz_linear,common_mode_doppler_sigma_over_2pi_khz,position_clip_fraction
0.1,4096,0.0007189767417240533,0.0007202846983572315,0.0007199468233416141,1.3079566331781426e-06,9.700816175607857e-07,2.2780382507389283e-06,0.0007212547799747923,2.7717821298908537e-08,2.0461974298190918e-08,0.0007189796678450052,0.0007191015022910956,0.000718927743755593,9.926226081631958,3.1763923461222268,5.1646503703091025,0.0
0.25,4096,0.0007189767417240533,0.0007221077681678786,0.0007213306643509738,3.1310264438252867e-06,2.35392262692047e-06,5.484949070745757e-06,0.0007244616907947991,6.889575813633892e-08,5.114775679356358e-08,0.0007190433752897144,0.0007193495734870865,0.000718927743755593,15.694741493862725,5.022317278036072,8.166029244304411,0.0
0.5,4096,0.0007189767417240533,0.0007251459309921581,0.0007236357406944606,6.169189268104757e-06,4.658998970407204e-06,1.0828188238511962e-05,0.0007298049299625653,1.3840717268887963e-07,1.0232722711873789e-07,0.0007191467574645936,0.0007197628466472137,0.000718927743755593,22.195716278560432,7.102629209139338,11.548509308030614,0.0
1.0,4096,0.0007189767417240533,0.0007312487616350702,0.0007282484072457565,1.2272019911016866e-05,9.271665521703109e-06,2.1543685432719975e-05,0.0007405204271567733,2.8029528155692546e-07,2.0467260177386513e-07,0.000719354766528352,0.0007205898989588271,0.000718927743755593,31.38948298772545,10.044634556072143,16.332058488608823,0.0
1.490968689549,4096,0.0007189767417240533,0.0007372771065821541,0.0007327754662034866,1.830036485810072e-05,1.3798724479433238e-05,3.209908933753396e-05,0.0007510758310615873,4.230225933625037e-07,3.051721258829392e-07,0.0007195606836357861,0.0007214016132905898,0.000718927743755593,38.32820001511627,12.265024004837207,19.942297382048608,0.0
2.0,4096,0.0007189767417240533,0.0007435600551868372,0.0007374703087640614,2.4583313462783838e-05,1.8493567040008007e-05,4.3076880502791845e-05,0.0007620536222268452,5.742929223638938e-07,4.0937718772582607e-07,0.0007197756673074384,0.0007222434117138976,0.000718927743755593,44.391432557120865,14.205258418278676,23.097018616061227,0.0
3.0,4096,0.0007189767417240533,0.0007560158143853066,0.000746692248470301,3.70390726612532e-05,2.77155067462476e-05,6.47545794075008e-05,0.0007837313211315542,8.818575007884915e-07,6.140403507160834e-07,0.0007202032282233694,0.0007238969169912054,0.000718927743755593,54.3681793580594,17.397817394579008,28.287955094457043,0.0
5.0,4096,0.0007189767417240533,0.000781334389201826,0.0007651359778868263,6.235764747777265e-05,4.6159236162772975e-05,0.00010851688364054562,0.000827493625364599,1.53560219526451e-06,1.0232968503523198e-06,0.0007210733598789244,0.0007272038437057659,0.000718927743755593,70.1890177391273,22.46048567652073,36.51959299303179,0.0
10.0,4096,0.0007189767417240533,0.0008470276956581981,0.0008112366609884032,0.00012805095393414478,9.225991926434989e-05,0.00022031087319849467,0.000939287614922548,3.3935802190752702e-06,2.0460187795367805e-06,0.0007233390115064579,0.0007354695211954226,0.000718927743755593,99.26226081631958,31.763923461222262,51.64650370309102,0.0
20.0,4096,0.0007189767417240533,0.000989256555284186,0.0009034093917099928,0.0002702798135601327,0.00018443264998593942,0.0004547124635460721,0.0011736892052701254,8.078279802780515e-06,4.089888609000099e-06,0.0007286142547938866,0.0007519967474636175,0.000718927743755593,140.3780354782546,44.92097135304146,73.03918598606359,0.0
30.0,4096,0.0007189767417240533,0.001145965650823382,0.0009955499643008751,0.0004269889090993287,0.0002765732225768218,0.0007035621316761505,0.0014225388734002038,1.4079374028097213e-05,6.131916319760563e-06,0.0007343464208053876,0.000768520976826414,0.000718927743755593,171.92727900801884,55.01672928256603,89.45436844704783,0.0
