Fig4b_3P0_x,Fig4b_3P0_y,Fig4b_3P0_yerr,Fig4b_1S0_x,Fig4b_1S0_y,Fig4b_1S0_yerr,Fig4b_total_x,Fig4b_total_y,Fig4b_total_yerr,Fig4c_raw_x,Fig4c_3P0_y,Fig4c_3P0_yerr,Fig4c_erasure_x,Fig4c_erasure_y,Fig4c_erasure_yerr,Fig4d_P(err.|det.)_x,Fig4d_P(err.|det.)_y,Fig4d_P(err.|det.)_yerr,Fig4d_(e-e_c)/e_x,Fig4d_(e-e_c)/e_y,Fig4d_(e-e_c)/e_yerr,Fig4e_|11>_x,Fig4e_|11>_y,Fig4e_|11>_yerr,Fig4e_|00>_x,Fig4e_|00>_y,Fig4e_|00>_yerr,Fig4e_|++>_x,Fig4e_|++>_y,Fig4e_|++>_yerr
0.0,0.0259459459459459,0.0052270351096723,0.0,0.0356756756756756,0.0060985529378661,0.0,0.0561282932416953,0.0078969760167143,0.0,0.8238503201355837,0.0082913050340893,0.0,0.845162420951005,0.0083257595901611,350,0.4158451491632899,0.0165592737941508,350,0.3341860074617802,0.0724817837584495,0.0,0.03826086956521739,0.007999671235128387,0.0,0.04411764705882353,0.007508576226397105,0.0,0.03116457080371788,0.004063017832099352
50.0,0.0819462227912932,0.0098146092576487,50.0,0.1677336747759283,0.0133695187709419,50.0,0.4215425531914893,0.0205483440238245,2.0,0.787981804112944,0.0103313920708889,2.0,0.8243783737905735,0.009739896082526,600,0.6934993135376262,0.0260188226169565,600,0.3189951789974857,0.0592291948900822,2.0,0.06278026905829596,0.009378194572828796,2.0,0.028021015761821366,0.006906409424148734,2.0,0.05036855036855037,0.005420384193474259
100.0,0.0738423028785982,0.0092517033025128,100.0,0.2315394242803504,0.0149227849610615,100.0,0.5396308360477742,0.0196017860275322,4.0,0.7449477881849638,0.0081773843494258,4.0,0.7937668957842754,0.008544124627636,850,0.921148558471785,0.0177599124039931,850,0.2988331252091454,0.0643116069850641,4.0,0.08282828282828283,0.012388309770656327,4.0,0.044673539518900345,0.00856326911771401,4.0,0.04902576995600252,0.00541329252046715
150.0,0.0852417302798982,0.0099601992746798,150.0,0.2417302798982188,0.0152709519724781,150.0,0.6368909512761021,0.0209587258252845,6.0,0.7248627272241084,0.0095848295227386,6.0,0.7720638919624098,0.0100516931445702,1100,0.9807485998062228,0.0082947326497364,1100,0.2576347873916376,0.0652085339180257,6.0,0.08305084745762711,0.011361054811541158,6.0,0.03536345776031434,0.008186538811504935,6.0,0.058419243986254296,0.005612865474127983
200.0,0.1030092592592592,0.0103413024695315,200.0,0.2523148148148148,0.0147765787305867,200.0,0.6596491228070176,0.0217714491334157,8.0,0.7026865138066594,0.009723253535756,8.0,0.7604692792785438,0.0097040399542037,1500,0.9872268983971112,0.0082566365160682,1500,0.200802831562906,0.0722689828329001,8.0,0.0924956369982548,0.012103408007689267,8.0,0.034764826175869123,0.008283848951396422,8.0,0.07097518753606463,0.006168330705094535
250.0,0.1002824858757062,0.0112888318456016,250.0,0.2344632768361582,0.0159222266142363,250.0,0.6630286493860846,0.0233310425384712,10.0,0.6761761311386462,0.0109115162959348,10.0,0.7416676615863299,0.0109768477759777,1900,0.9870958751393534,0.0093556588479698,1900,0.1478482721082576,0.076544038523606,10.0,0.10956175298804781,0.013940537871827047,10.0,0.061837455830388695,0.010124104888829614,10.0,0.07340025094102885,0.006532068086743372
300.0,0.1065759637188208,0.0103902059934002,300.0,0.2210884353741496,0.013973100945043,300.0,0.6918304033092038,0.0205984566608978,,,,,,,2300,0.9971590909090908,0.003890074982281,2300,0.1029319451187346,0.0779691820256784,12.0,0.12557077625570776,0.015833231655975864,12.0,0.05251141552511415,0.01065802661969706,12.0,0.07882882882882883,0.006394273751557394
350.0,0.107537688442211,0.0098211818060278,350.0,0.2452261306532663,0.0136389287477066,350.0,0.6882290562036055,0.0202324211044099,,,,,,,2700,1.0,0.0,2700,0.0735835270564935,0.0841982822272413,14.0,0.12293144208037825,0.015965336463372524,14.0,0.04225352112676056,0.009746572899455066,14.0,0.08856971873129862,0.006950501389986669
400.0,0.1019656019656019,0.0106062321152378,400.0,0.2923832923832923,0.015942745483783,400.0,0.7086705202312138,0.0219334651072447,,,,,,,3100,1.0,0.0,3100,0.0472258049797269,0.0867019042433365,16.0,0.14583333333333334,0.01698078790639029,16.0,0.029953917050691243,0.008182351456327534,16.0,0.10410641989589357,0.007344622377439126
450.0,0.1013824884792626,0.0102449312806806,450.0,0.2569124423963134,0.0148303944086455,450.0,0.7094430992736078,0.0218286227321072,,,,,,,3500,1.0,0.0,3500,0.0245864973597141,0.0885164950877693,18.0,0.13959390862944163,0.017459703373361717,18.0,0.05962059620596206,0.012326407714262586,18.0,0.09102564102564102,0.007282749802132195
,,,,,,,,,,,,,,,3900,1.0,0.0,3900,0.0160684053792242,0.0882346721386289,,,,,,,,,
,,,,,,,,,,,,,,,4300,1.0,0.0,4300,0.0110479456967233,0.0899487183821753,,,,,,,,,
,,,,,,,,,,,,,,,4700,1.0,0.0,4700,0.0062578559459603,0.0903559846319739,,,,,,,,,
